Instance,Best,Algorithm,Last Improved,Category
le450_25d.col,26,TABUCOL_chiarandini,2025-04-29,2
le450_5a.col,5,TABUCOL_chiarandini,2025-04-29,1
le450_5b.col,5,TABUCOL_chiarandini,2025-04-29,1
le450_5c.col,5,TABUCOL_chiarandini,2025-04-29,2
le450_5d.col,5,TABUCOL_chiarandini,2025-04-29,2
miles1000.col,42,DSATUR_chiarandini,2025-04-29,2
miles1500.col,73,DSATUR_chiarandini,2025-04-29,2
miles250.col,8,DSATUR_chiarandini,2025-04-29,4
miles500.col,20,DSATUR_chiarandini,2025-04-29,4
miles750.col,31,DSATUR_chiarandini,2025-04-29,3
mug100_1.col,4,DSATUR_chiarandini,2025-04-29,4
mug100_25.col,4,DSATUR_chiarandini,2025-04-29,4
mug88_1.col,4,DSATUR_chiarandini,2025-04-29,4
mug88_25.col,4,DSATUR_chiarandini,2025-04-29,4
mulsol.i.1.col,49,DSATUR_chiarandini,2025-04-29,3
mulsol.i.2.col,31,DSATUR_chiarandini,2025-04-29,3
mulsol.i.3.col,31,DSATUR_chiarandini,2025-04-29,3
mulsol.i.4.col,31,DSATUR_chiarandini,2025-04-29,3
mulsol.i.5.col,31,DSATUR_chiarandini,2025-04-29,3
myciel3.col,4,HEA_chiarandini,2025-04-29,1
myciel4.col,5,DSATUR_chiarandini,2025-04-29,4
myciel5.col,6,DSATUR_chiarandini,2025-04-29,4
myciel5g.col,6,DSATUR_chiarandini,2025-04-29,4
myciel5gb.col,6,DSATUR_chiarandini,2025-04-29,4
myciel6.col,7,DSATUR_chiarandini,2025-04-29,4
myciel6g.col,7,DSATUR_chiarandini,2025-04-29,4
myciel6gb.col,7,DSATUR_chiarandini,2025-04-29,4
myciel7.col,8,DSATUR_chiarandini,2025-04-29,3
myciel7g.col,8,DSATUR_chiarandini,2025-04-29,3
myciel7gb.col,8,DSATUR_chiarandini,2025-04-29,3
queen10_10.col,11,TABUCOL_chiarandini,2025-04-29,1
queen10_10g.col,11,TABUCOL_chiarandini,2025-04-29,1
