instance_name,best,best_performance,AntCol_rhyd_Run1,AntCol_rhyd_Run2,Construction_ROS_chiarandini_Run1,Construction_ROS_chiarandini_Run2,DSATUR_chiarandini_Run1,DSATUR_chiarandini_Run2,EX_DSATUR_chiarandini_Run1,EX_DSATUR_chiarandini_Run2,Greedy_chiarandini_Run1,Greedy_chiarandini_Run2,HEA_RLF_chiarandini_Run1,HEA_RLF_chiarandini_Run2,HEA_chiarandini_Run1,HEA_chiarandini_Run2,HEA_rhyd_Run1,HEA_rhyd_Run2,HillClimb_rhyd_Run1,HillClimb_rhyd_Run2,PartialCol_chiarandini_Run1,PartialCol_chiarandini_Run2,PartialCol_rhyd_Run1,PartialCol_rhyd_Run2,Penalty_chiarandini_Run1,Penalty_chiarandini_Run2,RLF_chiarandini_Run1,RLF_chiarandini_Run2,TABUCOL_chiarandini_Run1,TABUCOL_chiarandini_Run2,TABUCOL_rhyd_Run1,TABUCOL_rhyd_Run2
1-FullIns_3.col,4,4,nan,nan,4,5,4,4,4,4,4,5,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
R50_5gb.col,50,10,nan,nan,13,13,11,11,11,11,13,13,10,10,10,10,nan,nan,nan,nan,10,10,nan,nan,nan,nan,11,11,10,10,nan,nan
4-Insertions_3.col,4,4,nan,nan,5,4,4,4,4,4,5,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,56,4,4,4,4,nan,nan
R50_5g.col,50,10,nan,nan,13,13,11,11,11,11,13,13,10,10,10,10,nan,nan,nan,nan,10,10,nan,nan,nan,nan,11,11,10,10,nan,nan
1-FullIns_5.col,6,6,nan,nan,8,8,6,6,6,6,8,8,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
queen12_12g.col,144,13,nan,nan,17,20,16,16,16,16,17,20,14,15,14,14,nan,nan,nan,nan,14,14,nan,nan,nan,nan,14,15,13,14,nan,nan
DSJR500.1c.col,85,85,nan,nan,105,110,88,89,88,89,105,110,88,87,89,90,nan,nan,nan,nan,89,90,nan,nan,nan,nan,94,92,93,89,nan,nan
wap08a.col,40,40,nan,nan,59,59,45,45,45,45,59,59,45,45,45,45,nan,nan,nan,nan,44,44,nan,nan,nan,nan,45,45,44,44,nan,nan
2-FullIns_4.col,6,6,nan,nan,8,8,6,6,6,6,8,8,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
flat1000_76_0.col,81,81,nan,nan,122,122,114,114,114,114,122,122,107,109,107,107,nan,nan,nan,nan,95,94,nan,nan,nan,nan,107,109,92,91,nan,nan
le450_5d.col,5,5,nan,nan,16,17,11,11,11,11,16,17,6,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,6,5,5,5,nan,nan
miles500.col,20,20,nan,nan,23,23,20,20,20,20,23,23,20,20,20,20,nan,nan,nan,nan,20,20,nan,nan,nan,nan,20,20,20,20,nan,nan
R75_9g.col,75,33,nan,nan,37,39,34,35,34,35,37,39,33,33,33,33,nan,nan,nan,nan,33,33,nan,nan,nan,nan,33,35,33,33,nan,nan
homer.col,13,13,nan,nan,14,14,13,13,13,13,14,14,nan,nan,13,13,nan,nan,nan,nan,13,13,nan,nan,nan,nan,13,13,nan,nan,nan,nan
R75_1g.col,70,4,nan,nan,6,6,5,5,5,5,6,6,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
anna.col,11,11,nan,nan,11,11,11,11,11,11,11,11,11,11,11,11,nan,nan,nan,nan,11,11,nan,nan,nan,nan,11,11,11,11,nan,nan
le450_15d.col,15,15,nan,nan,30,30,24,25,24,25,30,30,23,23,23,23,nan,nan,nan,nan,18,17,nan,nan,nan,nan,23,23,17,17,nan,nan
1-FullIns_4.col,5,5,nan,nan,7,6,5,5,5,5,7,6,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
DSJC1000.5.col,82,82,nan,nan,126,129,116,116,116,116,126,129,108,109,106,107,nan,nan,nan,nan,94,95,nan,nan,nan,nan,108,109,93,93,nan,nan
DSJC250.9.col,72,72,nan,nan,93,96,89,92,89,92,93,96,85,84,83,82,nan,nan,nan,nan,73,73,nan,nan,nan,nan,85,84,72,73,nan,nan
DSJC125.5gb.col,125,17,nan,nan,28,25,22,21,22,21,28,25,20,21,19,20,nan,nan,nan,nan,18,18,nan,nan,nan,nan,20,21,17,17,nan,nan
r250.1.col,8,8,nan,nan,9,9,8,8,8,8,9,9,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
mug100_25.col,4,4,nan,nan,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
flat300_26_0.col,300,26,nan,nan,49,46,42,43,42,43,49,46,38,39,38,38,nan,nan,nan,nan,26,26,nan,nan,nan,nan,38,39,33,33,nan,nan
inithx.i.2.col,31,31,nan,nan,31,31,31,31,31,31,31,31,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
wap07a.col,41,41,nan,nan,60,59,46,45,46,45,60,59,45,45,45,45,nan,nan,nan,nan,44,44,nan,nan,nan,nan,45,45,43,44,nan,nan
flat300_28_0.col,28,28,nan,nan,47,46,43,42,43,42,47,46,40,39,38,38,nan,nan,nan,nan,33,33,nan,nan,nan,nan,40,39,32,32,nan,nan
2-FullIns_5.col,7,7,nan,nan,11,10,7,7,7,7,11,10,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,7,7,7,nan,nan
mulsol.i.3.col,31,31,nan,nan,31,31,31,31,31,31,31,31,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
R100_9g.col,100,35,nan,nan,46,47,40,40,40,40,46,47,38,38,37,37,nan,nan,nan,nan,36,35,nan,nan,nan,nan,40,38,35,35,nan,nan
r250.1c.col,64,64,nan,nan,74,73,65,66,65,66,74,73,65,65,65,65,nan,nan,nan,nan,65,66,nan,nan,nan,nan,68,67,66,66,nan,nan
myciel7.col,8,8,nan,nan,9,8,8,8,8,8,9,8,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
R75_5gb.col,75,12,nan,nan,18,17,15,16,15,16,18,17,13,13,13,13,nan,nan,nan,nan,12,13,nan,nan,nan,nan,14,15,12,12,nan,nan
DSJC500.9.col,126,126,nan,nan,179,178,166,167,166,167,179,178,155,155,154,153,nan,nan,nan,nan,130,131,nan,nan,nan,nan,155,155,129,130,nan,nan
R75_5g.col,75,12,nan,nan,18,17,15,16,15,16,18,17,13,13,13,13,nan,nan,nan,nan,12,13,nan,nan,nan,nan,14,15,12,12,nan,nan
flat1000_60_0.col,60,60,nan,nan,126,124,114,115,114,115,126,124,105,106,105,106,nan,nan,nan,nan,93,94,nan,nan,nan,nan,105,106,91,93,nan,nan
5-FullIns_3.col,8,8,nan,nan,9,9,8,8,8,8,9,9,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
queen8_12.col,12,12,nan,nan,15,15,14,13,14,13,15,15,13,13,12,12,nan,nan,nan,nan,12,12,nan,nan,nan,nan,13,13,12,12,nan,nan
queen8_8gb.col,64,9,nan,nan,13,13,11,11,11,11,13,13,10,10,10,10,nan,nan,nan,nan,9,9,nan,nan,nan,nan,10,10,9,9,nan,nan
myciel3.col,4,4,nan,nan,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,10,11,4,4,4,4,nan,nan
le450_25c.col,25,25,nan,nan,37,36,28,28,28,28,37,36,28,28,28,28,nan,nan,nan,nan,28,28,nan,nan,nan,nan,28,28,26,27,nan,nan
1-Insertions_4.col,5,5,nan,nan,5,5,5,5,5,5,5,5,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
queen13_13.col,13,13,nan,nan,20,20,19,19,19,19,20,20,16,16,15,16,nan,nan,nan,nan,15,15,nan,nan,nan,nan,16,16,15,15,nan,nan
school1_nsh.col,14,14,nan,nan,38,38,27,27,27,27,38,38,25,25,25,24,nan,nan,nan,nan,14,14,nan,nan,nan,nan,25,25,14,14,nan,nan
inithx.i.1.col,54,54,nan,nan,54,54,54,54,54,54,54,54,54,54,54,54,nan,nan,nan,nan,54,54,nan,nan,nan,nan,54,54,54,54,nan,nan
le450_25a.col,25,25,nan,nan,28,27,25,25,25,25,28,27,25,25,25,25,nan,nan,nan,nan,25,25,nan,nan,nan,nan,25,25,25,25,nan,nan
myciel6gb.col,95,7,nan,nan,8,7,7,7,7,7,8,7,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,7,7,7,nan,nan
4-FullIns_4.col,8,8,nan,nan,10,10,8,8,8,8,10,10,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
inithx.i.3.col,31,31,nan,nan,31,31,31,31,31,31,31,31,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
2-FullIns_3.col,5,5,nan,nan,5,6,5,5,5,5,5,6,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
queen7_7.col,7,7,nan,nan,12,12,10,10,10,10,12,12,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,9,9,7,7,nan,nan
queen9_9.col,10,10,nan,nan,14,14,13,14,13,14,14,14,11,11,10,10,nan,nan,nan,nan,10,10,nan,nan,nan,nan,11,12,10,10,nan,nan
myciel6g.col,95,7,nan,nan,8,7,7,7,7,7,8,7,7,7,7,7,nan,nan,nan,nan,7,7,nan,nan,nan,nan,7,7,7,7,nan,nan
wap06a.col,40,40,nan,nan,53,55,49,47,49,47,53,55,44,44,42,42,nan,nan,nan,nan,42,42,nan,nan,nan,nan,44,44,41,42,nan,nan
