instance_name,best,best_performance,AntCol_rhyd_Run1,AntCol_rhyd_Run2,Construction_ROS_chiarandini_Run1,Construction_ROS_chiarandini_Run2,DSATUR_chiarandini_Run1,DSATUR_chiarandini_Run2,EX_DSATUR_chiarandini_Run1,EX_DSATUR_chiarandini_Run2,Greedy_chiarandini_Run1,Greedy_chiarandini_Run2,HEA_RLF_chiarandini_Run1,HEA_RLF_chiarandini_Run2,HEA_chiarandini_Run1,HEA_chiarandini_Run2,HEA_rhyd_Run1,HEA_rhyd_Run2,HillClimb_rhyd_Run1,HillClimb_rhyd_Run2,PartialCol_chiarandini_Run1,PartialCol_chiarandini_Run2,PartialCol_rhyd_Run1,PartialCol_rhyd_Run2,Penalty_chiarandini_Run1,Penalty_chiarandini_Run2,RLF_chiarandini_Run1,RLF_chiarandini_Run2,TABUCOL_chiarandini_Run1,TABUCOL_chiarandini_Run2,TABUCOL_rhyd_Run1,TABUCOL_rhyd_Run2
R50_9g.col,50,21,nan,nan,28,26,22,21,22,21,28,26,21,21,21,21,nan,nan,nan,nan,21,21,nan,nan,nan,nan,23,23,21,22,nan,nan
abb313GPIA.col,10,10,nan,nan,17,16,12,12,12,12,17,16,11,12,11,11,nan,nan,nan,nan,10,10,nan,nan,nan,nan,11,12,10,10,nan,nan
ash958GPIA.col,4,4,nan,nan,6,7,6,6,6,6,6,7,5,5,5,5,nan,nan,nan,nan,4,4,nan,nan,nan,nan,5,5,4,4,nan,nan
DSJC1000.9.col,222,222,nan,nan,318,324,297,303,297,303,318,324,281,284,281,281,nan,nan,nan,nan,239,239,nan,nan,nan,nan,281,284,236,235,nan,nan
zeroin.i.3.col,30,30,nan,nan,31,31,30,30,30,30,31,31,30,30,30,30,nan,nan,nan,nan,30,30,nan,nan,nan,nan,30,30,30,30,nan,nan
queen14_14.col,14,14,nan,nan,21,20,20,19,20,19,21,20,17,17,16,17,nan,nan,nan,nan,16,16,nan,nan,nan,nan,17,17,16,16,nan,nan
le450_15b.col,15,15,nan,nan,22,22,16,17,16,17,22,22,16,16,16,16,nan,nan,nan,nan,16,16,nan,nan,nan,nan,16,16,15,15,nan,nan
mug100_1.col,4,4,nan,nan,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
wap04a.col,42,42,nan,nan,61,61,48,47,48,47,61,61,46,46,45,45,nan,nan,nan,nan,45,44,nan,nan,nan,nan,46,46,45,44,nan,nan
2-Insertions_4.col,5,5,nan,nan,6,5,5,5,5,5,6,5,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
r1000.1.col,20,20,nan,nan,24,25,20,21,20,21,24,25,20,20,20,20,nan,nan,nan,nan,20,20,nan,nan,nan,nan,20,20,20,20,nan,nan
wap03a.col,40,40,nan,nan,64,62,55,52,55,52,64,62,51,51,49,49,nan,nan,nan,nan,47,47,nan,nan,nan,nan,51,51,47,48,nan,nan
R50_1g.col,50,3,nan,nan,4,5,4,4,4,4,4,5,3,3,3,3,nan,nan,nan,nan,3,3,nan,nan,38,39,4,4,3,3,nan,nan
DSJC250.1.col,8,8,nan,nan,12,13,10,10,10,10,12,13,10,9,9,9,nan,nan,nan,nan,8,8,nan,nan,nan,nan,10,9,8,9,nan,nan
R50_1gb.col,50,3,nan,nan,4,5,4,4,4,4,4,5,3,3,3,3,nan,nan,nan,nan,3,3,nan,nan,38,39,4,4,3,3,nan,nan
myciel4.col,5,5,nan,nan,5,5,5,5,5,5,5,5,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
r250.5.col,65,65,nan,nan,78,80,68,67,68,67,78,80,67,67,72,72,nan,nan,nan,nan,69,69,nan,nan,nan,nan,72,72,69,69,nan,nan
C4000.5.col,259,259,nan,nan,403,401,380,378,380,378,403,401,362,362,353,353,nan,nan,nan,nan,316,317,nan,nan,nan,nan,362,357,314,316,nan,nan
3-FullIns_5.col,2030,8,nan,nan,12,11,8,8,8,8,12,11,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
mulsol.i.5.col,31,31,nan,nan,31,31,31,31,31,31,31,31,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
fpsol2.i.1.col,65,65,nan,nan,65,65,65,65,65,65,65,65,65,65,65,65,nan,nan,nan,nan,65,65,nan,nan,nan,nan,65,65,65,65,nan,nan
jean.col,10,10,nan,nan,10,10,10,10,10,10,10,10,10,10,10,10,nan,nan,nan,nan,10,10,nan,nan,nan,nan,10,10,10,10,nan,nan
miles750.col,31,31,nan,nan,32,36,31,31,31,31,32,36,31,31,31,31,nan,nan,nan,nan,31,31,nan,nan,nan,nan,31,31,31,31,nan,nan
mug88_25.col,4,4,nan,nan,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,nan,4,4,4,4,nan,nan
flat1000_50_0.col,50,50,nan,nan,121,124,116,114,116,114,121,124,105,107,105,105,nan,nan,nan,nan,91,89,nan,nan,nan,nan,105,107,90,92,nan,nan
queen9_9gb.col,81,10,nan,nan,14,14,13,14,13,14,14,14,11,11,10,10,nan,nan,nan,nan,10,10,nan,nan,nan,nan,11,12,10,10,nan,nan
queen12_12.col,12,12,nan,nan,17,20,16,16,16,16,17,20,14,15,14,14,nan,nan,nan,nan,14,14,nan,nan,nan,nan,14,15,13,14,nan,nan
1-Insertions_5.col,6,6,nan,nan,6,6,6,6,6,6,6,6,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
miles1500.col,73,73,nan,nan,74,74,73,73,73,73,74,74,73,73,73,73,nan,nan,nan,nan,73,73,nan,nan,nan,nan,73,73,73,73,nan,nan
DSJC125.1gb.col,125,5,nan,nan,9,8,6,6,6,6,9,8,5,6,6,6,nan,nan,nan,nan,5,5,nan,nan,nan,nan,6,6,5,5,nan,nan
myciel7gb.col,191,8,nan,nan,9,8,8,8,8,8,9,8,8,8,8,8,nan,nan,nan,nan,8,8,nan,nan,nan,nan,8,8,8,8,nan,nan
zeroin.i.1.col,49,49,nan,nan,49,49,49,49,49,49,49,49,49,49,49,49,nan,nan,nan,nan,49,49,nan,nan,nan,nan,49,49,49,49,nan,nan
3-FullIns_3.col,6,6,nan,nan,6,6,6,6,6,6,6,6,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
david.col,11,11,nan,nan,12,11,11,11,11,11,12,11,11,11,11,11,nan,nan,nan,nan,11,11,nan,nan,nan,nan,11,11,11,11,nan,nan
le450_5b.col,5,5,nan,nan,13,13,9,10,9,10,13,13,6,7,6,6,nan,nan,nan,nan,5,5,nan,nan,nan,nan,6,7,5,5,nan,nan
myciel5.col,6,6,nan,nan,6,6,6,6,6,6,6,6,6,6,6,6,nan,nan,nan,nan,6,6,nan,nan,nan,nan,6,6,6,6,nan,nan
r125.1.col,5,5,nan,nan,6,6,5,5,5,5,6,6,5,5,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,5,5,5,5,nan,nan
r1000.1c.col,98,98,nan,nan,139,139,106,104,106,104,139,139,104,104,109,109,nan,nan,nan,nan,108,110,nan,nan,nan,nan,112,113,104,108,nan,nan
