instance_name,best,best_performance,AntCol_rhyd,Construction_ROS_chiarandini,DSATUR_chiarandini,EX_DSATUR_chiarandini,Greedy_chiarandini,HEA_RLF_chiarandini,HEA_chiarandini,HEA_rhyd,HillClimb_rhyd,PartialCol_chiarandini,PartialCol_rhyd,Penalty_chiarandini,RLF_chiarandini,TABUCOL_chiarandini,TABUCOL_rhyd
queen8_12.col,12,12,13,15,14,14,15,13,12,13,13,12,13,nan,13,12,13
queen8_8gb.col,9,9,10,13,11,11,13,10,10,10,10,9,10,nan,10,9,10
myciel3.col,4,4,5,4,4,4,4,4,4,5,5,4,5,10,4,4,5
le450_25c.col,26,26,29,37,28,28,37,28,28,28,29,28,29,nan,28,26,28
1-Insertions_4.col,5,5,6,5,5,5,5,5,5,6,6,5,6,nan,5,5,6
queen13_13.col,15,15,16,20,19,19,20,16,15,15,16,15,15,nan,16,15,16
school1_nsh.col,14,14,15,38,27,27,38,25,25,15,15,14,15,nan,25,14,15
inithx.i.1.col,54,54,55,54,54,54,54,54,54,55,55,54,55,nan,54,54,55
le450_25a.col,25,25,26,28,25,25,28,25,25,26,26,25,26,nan,25,25,26
myciel6gb.col,7,7,8,8,7,7,8,7,7,8,8,7,8,nan,7,7,8
4-FullIns_4.col,8,8,9,10,8,8,10,8,8,9,9,8,9,nan,8,8,9
inithx.i.3.col,31,31,32,31,31,31,31,31,31,32,32,31,32,nan,31,31,32
2-FullIns_3.col,5,5,6,5,5,5,5,5,5,6,6,5,6,nan,5,5,6
queen7_7.col,7,7,8,12,10,10,12,7,7,8,9,7,8,nan,9,7,8
queen9_9.col,10,10,11,14,13,13,14,11,10,11,11,10,11,nan,11,10,11
myciel6g.col,7,7,8,8,7,7,8,7,7,8,8,7,8,nan,7,7,8
wap06a.col,41,41,46,53,49,49,53,44,42,44,46,42,47,nan,44,41,45
4-FullIns_3.col,7,7,8,8,7,7,8,7,7,8,8,7,8,nan,7,7,8
DSJC500.5.col,51,51,55,73,64,64,73,61,61,55,61,53,55,nan,61,51,56
queen10_10g.col,11,11,12,15,15,15,15,12,12,12,13,11,12,nan,12,11,12
DSJC125.9.col,44,44,45,54,52,52,54,49,46,45,45,44,45,nan,49,44,45
wap05a.col,50,50,51,56,51,51,56,50,50,51,51,50,52,nan,50,50,52
le450_25d.col,26,26,29,36,29,29,36,29,28,28,30,28,28,nan,29,26,29
queen8_8g.col,9,9,10,13,11,11,13,10,10,10,10,9,10,nan,10,9,10
mulsol.i.2.col,31,31,32,31,31,31,31,31,31,32,32,31,32,nan,31,31,32
queen15_15.col,17,17,18,21,21,21,21,18,18,18,19,17,18,nan,18,17,18
R75_9gb.col,33,33,34,37,34,34,37,33,33,34,34,33,34,nan,33,33,34
myciel5gb.col,6,6,7,6,6,6,6,6,6,7,7,6,7,nan,6,6,7
le450_5a.col,5,5,6,13,10,10,13,7,7,6,6,5,7,nan,7,5,6
le450_15c.col,15,15,23,31,24,24,31,23,23,22,24,15,23,nan,23,16,22
queen16_16.col,18,18,19,24,21,21,24,19,19,19,20,18,19,nan,19,18,19
miles1000.col,42,42,43,44,42,42,44,42,42,43,43,42,43,nan,42,42,43
5-FullIns_4.col,9,9,10,10,9,9,10,9,9,10,10,9,10,nan,9,9,10
queen11_11g.col,12,12,13,17,15,15,17,14,13,13,14,12,13,nan,14,12,13
DSJC125.9g.col,44,44,45,54,52,52,54,49,46,45,45,44,45,nan,49,44,45
R50_9gb.col,21,21,22,28,22,22,28,21,21,22,22,21,22,nan,23,21,22
queen9_9g.col,10,10,11,14,13,13,14,11,10,11,11,10,11,nan,11,10,11
3-Insertions_5.col,6,6,7,7,6,6,7,6,6,7,7,6,7,nan,6,6,7
mug88_1.col,4,4,5,4,4,4,4,4,4,5,5,4,5,nan,4,4,5
C57-N00778-B50-WAP__9.col,56,56,nan,79,59,59,79,57,57,nan,nan,56,nan,nan,57,56,nan
mulsol.i.1.col,49,49,50,49,49,49,49,49,49,50,50,49,50,nan,49,49,50
mulsol.i.4.col,31,31,32,31,31,31,31,31,31,32,32,31,32,nan,31,31,32
will199GPIA.col,7,7,8,11,7,7,11,7,7,8,8,7,8,nan,7,7,8
2-Insertions_3.col,4,4,5,4,4,4,4,4,4,5,5,4,5,30,4,4,5
DSJC1000.1.col,21,21,24,31,26,26,31,25,24,23,26,22,23,nan,25,21,24
wap02a.col,42,42,47,56,47,47,56,45,44,44,47,42,46,nan,45,44,46
fpsol2.i.2.col,30,30,31,31,30,30,31,30,30,31,31,30,31,nan,30,30,31
huck.col,11,11,12,11,11,11,11,11,11,12,12,11,12,nan,11,11,12
ash608GPIA.col,4,4,5,7,6,6,7,5,4,5,6,4,5,nan,5,4,5
C57-N00855-B50-WAP_10.col,55,55,67,79,59,59,79,57,56,59,60,56,61,nan,57,55,61
R100_5g.col,14,14,16,22,18,18,22,17,16,15,16,14,15,nan,18,14,15
R75_1gb.col,4,4,5,6,5,5,6,4,4,5,5,4,5,nan,4,4,5
R100_9gb.col,35,35,37,46,40,40,46,38,37,37,37,36,37,nan,40,35,36
ash331GPIA.col,4,4,5,7,5,5,7,5,4,5,6,4,5,nan,5,4,5
r1000.5.col,248,248,258,282,250,250,282,251,250,248,249,250,251,nan,251,249,251
fpsol2.i.3.col,30,30,31,30,30,30,30,30,30,31,31,30,31,nan,30,30,31
myciel5g.col,6,6,7,6,6,6,6,6,6,7,7,6,7,nan,6,6,7
queen10_10.col,11,11,12,15,15,15,15,12,12,12,13,11,12,nan,12,11,12
school1.col,14,14,15,41,15,15,41,15,23,15,15,14,15,nan,23,14,15
DSJC125.5.col,17,17,19,28,22,22,28,20,19,19,19,18,19,nan,20,17,19
queen5_5.col,5,5,6,7,5,5,7,5,5,6,6,5,6,nan,5,5,6
queen12_12gb.col,13,13,15,17,16,16,17,14,14,14,15,14,14,nan,14,13,14
R100_1g.col,5,5,6,7,6,6,7,5,5,6,6,5,6,nan,6,5,6
miles250.col,8,8,9,10,8,8,10,8,8,9,9,8,9,nan,8,8,9
DSJC125.9gb.col,44,44,45,54,52,52,54,49,46,45,45,44,45,nan,49,44,45
queen11_11gb.col,12,12,13,17,15,15,17,14,13,13,14,12,13,nan,14,12,13
R50_9g.col,21,21,22,28,22,22,28,21,21,22,22,21,22,nan,23,21,22
